"date_yyyymmdd","depth_m","latitude_dd","longitude_dd","o2_at_gear_ml_per_l_der","operation_dim$operation_type","performance","project","temperature_at_gear_c_der","trawl_id","year","year_stn_invalid"
"20120706","331.9000","35.19388889","-121.02027778","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203010155","2012",""
"20120706","95.7000","34.79277778","-120.78722222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017160","2012",""
"20141005","77.3000","33.85083333","-120.03138889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201403010126","2014",""
"20090526","74.4000","46.96055556","-124.49472222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903010011","2009",""
"20100529","114.2000","48.09361111","-125.40111111","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010024","2010",""
"20110522","77.0000","47.15000000","-124.60166667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201103010005","2011",""
"20120629","361.5000","37.97416667","-123.45222222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201203017129","2012",""
"20130613","1013.8000","42.78027778","-124.95666667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201303017079","2013",""
"20091009","740.1000","35.40388889","-121.40583333","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903008133","2009",""
"20091019","66.3000","32.78361111","-117.32166667","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903008169","2009",""
"20091022","278.2000","33.61333333","-119.88250000","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903008177","2009",""
"20090610","88.7000","44.64083333","-124.44361111","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903010044","2009",""
"20090614","611.0000","43.58444444","-124.74638889","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","200903010069","2009",""
"20140827","113.0000","48.05250000","-124.99027778","1.8844","Trawl","Satisfactory","Groundfish Slope and Shelf Combination Survey","7.4782","201403010017","2014",""
"20100713","374.5000","33.23083333","-119.89305556","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003017161","2010",""
"20100713","504.1000","33.91194444","-119.73472222","","Trawl","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","","201003010162","2010",""
